[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step    290/3000 (  9.7%) | loss=5.7351 | lr=3.00e-04 | tok=4.75M | tps=114876 | mfu=76.2%/gpu | mem=9.5G | 0.143s | grad=0.9627 | ETA=6.4m
  step    300/3000 ( 10.0%) | loss=6.0907 | lr=3.00e-04 | tok=4.92M | tps=114756 | mfu=76.1%/gpu | mem=9.5G | 0.141s | grad=1.0482 | ETA=6.3m
  step    310/3000 ( 10.3%) | loss=5.9670 | lr=3.00e-04 | tok=5.08M | tps=115323 | mfu=76.5%/gpu | mem=9.4G | 0.140s | grad=1.1305 | ETA=6.3m
  step    320/3000 ( 10.7%) | loss=5.8116 | lr=3.00e-04 | tok=5.24M | tps=115196 | mfu=76.4%/gpu | mem=9.5G | 0.146s | grad=1.0097 | ETA=6.5m
  step    330/3000 ( 11.0%) | loss=6.0502 | lr=3.00e-04 | tok=5.41M | tps=114099 | mfu=75.7%/gpu | mem=9.4G | 0.143s | grad=0.9613 | ETA=6.4m
  step    340/3000 ( 11.3%) | loss=5.8988 | lr=3.00e-04 | tok=5.57M | tps=115627 | mfu=76.7%/gpu | mem=9.5G | 0.140s | grad=1.5011 | ETA=6.2m
  step    350/3000 ( 11.7%) | loss=5.8560 | lr=3.00e-04 | tok=5.73M | tps=115791 | mfu=76.8%/gpu | mem=9.4G | 0.145s | grad=0.9429 | ETA=6.4m
  step    360/3000 ( 12.0%) | loss=5.6987 | lr=3.00e-04 | tok=5.90M | tps=113308 | mfu=75.2%/gpu | mem=9.4G | 0.146s | grad=1.2906 | ETA=6.4m
  step    370/3000 ( 12.3%) | loss=5.5930 | lr=3.00e-04 | tok=6.06M | tps=114057 | mfu=75.7%/gpu | mem=9.5G | 0.145s | grad=0.9778 | ETA=6.4m
  step    380/3000 ( 12.7%) | loss=5.4193 | lr=3.00e-04 | tok=6.23M | tps=114062 | mfu=75.7%/gpu | mem=9.5G | 0.140s | grad=1.0194 | ETA=6.1m
  step    390/3000 ( 13.0%) | loss=6.0621 | lr=3.00e-04 | tok=6.39M | tps=114798 | mfu=76.2%/gpu | mem=9.4G | 0.141s | grad=1.0059 | ETA=6.1m
  step    400/3000 ( 13.3%) | loss=5.9827 | lr=3.00e-04 | tok=6.55M | tps=113202 | mfu=75.1%/gpu | mem=9.5G | 0.146s | grad=1.2791 | ETA=6.3m
  step    410/3000 ( 13.7%) | loss=5.7539 | lr=3.00e-04 | tok=6.72M | tps=113805 | mfu=75.5%/gpu | mem=9.5G | 0.143s | grad=0.9271 | ETA=6.2m
  step    420/3000 ( 14.0%) | loss=5.7452 | lr=3.00e-04 | tok=6.88M | tps=114682 | mfu=76.1%/gpu | mem=9.4G | 0.145s | grad=3.3615 | ETA=6.2m
  step    430/3000 ( 14.3%) | loss=5.4025 | lr=3.00e-04 | tok=7.05M | tps=115740 | mfu=76.8%/gpu | mem=9.4G | 0.140s | grad=0.9729 | ETA=6.0m
  step    440/3000 ( 14.7%) | loss=6.1332 | lr=3.00e-04 | tok=7.21M | tps=114904 | mfu=76.2%/gpu | mem=9.4G | 0.147s | grad=1.1942 | ETA=6.3m
  step    450/3000 ( 15.0%) | loss=5.8684 | lr=3.00e-04 | tok=7.37M | tps=115339 | mfu=76.5%/gpu | mem=9.4G | 0.142s | grad=1.2490 | ETA=6.0m
  step    460/3000 ( 15.3%) | loss=5.4323 | lr=3.00e-04 | tok=7.54M | tps=114849 | mfu=76.2%/gpu | mem=9.4G | 0.141s | grad=0.9362 | ETA=6.0m
  step    470/3000 ( 15.7%) | loss=5.1948 | lr=3.00e-04 | tok=7.70M | tps=116546 | mfu=77.3%/gpu | mem=9.4G | 0.145s | grad=1.0133 | ETA=6.1m
  step    480/3000 ( 16.0%) | loss=5.9950 | lr=3.00e-04 | tok=7.86M | tps=115981 | mfu=77.0%/gpu | mem=9.2G | 0.145s | grad=1.0968 | ETA=6.1m
  step    490/3000 ( 16.3%) | loss=5.5737 | lr=3.00e-04 | tok=8.03M | tps=115539 | mfu=76.7%/gpu | mem=9.3G | 0.142s | grad=0.9640 | ETA=5.9m
  step    500/3000 ( 16.7%) | loss=5.8417 | lr=3.00e-04 | tok=8.19M | tps=116312 | mfu=77.2%/gpu | mem=9.4G | 0.142s | grad=1.0527 | ETA=5.9m
    [VAL] loss=5.4987 ppl=244.38 bpb=1.2611
  step    510/3000 ( 17.0%) | loss=6.0244 | lr=3.00e-04 | tok=8.36M | tps=115359 | mfu=76.5%/gpu | mem=9.4G | 0.144s | grad=1.4086 | ETA=6.0m
  step    520/3000 ( 17.3%) | loss=5.4234 | lr=3.00e-04 | tok=8.52M | tps=115367 | mfu=76.6%/gpu | mem=9.3G | 0.140s | grad=0.9978 | ETA=5.8m
  step    530/3000 ( 17.7%) | loss=5.6065 | lr=3.00e-04 | tok=8.68M | tps=115960 | mfu=76.9%/gpu | mem=9.3G | 0.148s | grad=1.0313 | ETA=6.1m
  step    540/3000 ( 18.0%) | loss=5.2330 | lr=3.00e-04 | tok=8.85M | tps=116622 | mfu=77.4%/gpu | mem=9.3G | 0.140s | grad=1.1417 | ETA=5.7m
  step    550/3000 ( 18.3%) | loss=5.6748 | lr=3.00e-04 | tok=9.01M | tps=115031 | mfu=76.3%/gpu | mem=9.3G | 0.143s | grad=1.0920 | ETA=5.8m
  step    560/3000 ( 18.7%) | loss=5.6833 | lr=3.00e-04 | tok=9.18M | tps=114878 | mfu=76.2%/gpu | mem=9.3G | 0.142s | grad=0.9849 | ETA=5.8m
  step    570/3000 ( 19.0%) | loss=5.3211 | lr=3.00e-04 | tok=9.34M | tps=116394 | mfu=77.2%/gpu | mem=9.4G | 0.141s | grad=1.0517 | ETA=5.7m
  step    580/3000 ( 19.3%) | loss=5.2601 | lr=3.00e-04 | tok=9.50M | tps=116194 | mfu=77.1%/gpu | mem=9.3G | 0.141s | grad=0.9746 | ETA=5.7m
  step    590/3000 ( 19.7%) | loss=5.3680 | lr=3.00e-04 | tok=9.67M | tps=115774 | mfu=76.8%/gpu | mem=9.3G | 0.143s | grad=1.0928 | ETA=5.8m
  step    600/3000 ( 20.0%) | loss=5.1409 | lr=3.00e-04 | tok=9.83M | tps=116800 | mfu=77.5%/gpu | mem=9.3G | 0.140s | grad=1.0029 | ETA=5.6m
  step    610/3000 ( 20.3%) | loss=5.0469 | lr=3.00e-04 | tok=9.99M | tps=116504 | mfu=77.3%/gpu | mem=9.2G | 0.142s | grad=1.1635 | ETA=5.6m
  step    620/3000 ( 20.7%) | loss=5.0305 | lr=3.00e-04 | tok=10.16M | tps=116381 | mfu=77.2%/gpu | mem=9.2G | 0.141s | grad=1.0859 | ETA=5.6m
  step    630/3000 ( 21.0%) | loss=5.3395 | lr=3.00e-04 | tok=10.32M | tps=115363 | mfu=76.6%/gpu | mem=9.3G | 0.144s | grad=1.0345 | ETA=5.7m
  step    640/3000 ( 21.3%) | loss=5.5567 | lr=3.00e-04 | tok=10.49M | tps=115931 | mfu=76.9%/gpu | mem=9.3G | 0.141s | grad=1.1364 | ETA=5.5m
  step    650/3000 ( 21.7%) | loss=5.2790 | lr=3.00e-04 | tok=10.65M | tps=115437 | mfu=76.6%/gpu | mem=9.3G | 0.142s | grad=1.1378 | ETA=5.6m
  step    660/3000 ( 22.0%) | loss=5.3826 | lr=3.00e-04 | tok=10.81M | tps=116090 | mfu=77.0%/gpu | mem=9.2G | 0.140s | grad=1.1024 | ETA=5.5m
  step    670/3000 ( 22.3%) | loss=5.1722 | lr=3.00e-04 | tok=10.98M | tps=116060 | mfu=77.0%/gpu | mem=9.2G | 0.140s | grad=1.0590 | ETA=5.4m
  step    680/3000 ( 22.7%) | loss=5.3492 | lr=3.00e-04 | tok=11.14M | tps=115661 | mfu=76.7%/gpu | mem=9.3G | 0.142s | grad=1.1482 | ETA=5.5m
  step    690/3000 ( 23.0%) | loss=4.9475 | lr=3.00e-04 | tok=11.30M | tps=114696 | mfu=76.1%/gpu | mem=9.4G | 0.141s | grad=1.1908 | ETA=5.4m
  step    700/3000 ( 23.3%) | loss=5.1974 | lr=3.00e-04 | tok=11.47M | tps=115986 | mfu=77.0%/gpu | mem=9.3G | 0.140s | grad=0.9708 | ETA=5.4m
  step    710/3000 ( 23.7%) | loss=4.9872 | lr=3.00e-04 | tok=11.63M | tps=114840 | mfu=76.2%/gpu | mem=9.3G | 0.139s | grad=1.2189 | ETA=5.3m
  step    720/3000 ( 24.0%) | loss=5.0399 | lr=3.00e-04 | tok=11.80M | tps=115252 | mfu=76.5%/gpu | mem=9.3G | 0.143s | grad=1.0366 | ETA=5.4m
  step    730/3000 ( 24.3%) | loss=5.0622 | lr=3.00e-04 | tok=11.96M | tps=115921 | mfu=76.9%/gpu | mem=9.3G | 0.140s | grad=1.1693 | ETA=5.3m
  step    740/3000 ( 24.7%) | loss=5.4034 | lr=3.00e-04 | tok=12.12M | tps=115862 | mfu=76.9%/gpu | mem=9.3G | 0.143s | grad=1.0301 | ETA=5.4m
  step    750/3000 ( 25.0%) | loss=5.0515 | lr=3.00e-04 | tok=12.29M | tps=116027 | mfu=77.0%/gpu | mem=9.3G | 0.146s | grad=1.0458 | ETA=5.5m
    [VAL] loss=5.1384 ppl=170.44 bpb=1.1785
  step    760/3000 ( 25.3%) | loss=5.1297 | lr=3.00e-04 | tok=12.45M | tps=115563 | mfu=76.7%/gpu | mem=9.2G | 0.144s | grad=1.2032 | ETA=5.4m
  step    770/3000 ( 25.7%) | loss=5.1337 | lr=3.00e-04 | tok=12.62M | tps=115462 | mfu=76.6%/gpu | mem=9.3G | 0.141s | grad=1.0497 | ETA=5.2m
