[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step    290/3000 (  9.7%) | loss=5.7420 | lr=3.00e-04 | tok=4.75M | tps=113094 | mfu=75.0%/gpu | mem=9.5G | 0.141s | grad=0.9794 | ETA=6.4m
  step    300/3000 ( 10.0%) | loss=6.1001 | lr=3.00e-04 | tok=4.92M | tps=116359 | mfu=77.2%/gpu | mem=9.5G | 0.140s | grad=1.0498 | ETA=6.3m
  step    310/3000 ( 10.3%) | loss=5.9726 | lr=3.00e-04 | tok=5.08M | tps=115810 | mfu=76.8%/gpu | mem=9.5G | 0.140s | grad=1.0548 | ETA=6.3m
  step    320/3000 ( 10.7%) | loss=5.8273 | lr=3.00e-04 | tok=5.24M | tps=115939 | mfu=76.9%/gpu | mem=9.5G | 0.141s | grad=0.9860 | ETA=6.3m
  step    330/3000 ( 11.0%) | loss=6.0563 | lr=3.00e-04 | tok=5.41M | tps=115713 | mfu=76.8%/gpu | mem=9.5G | 0.141s | grad=0.9654 | ETA=6.3m
  step    340/3000 ( 11.3%) | loss=5.9198 | lr=3.00e-04 | tok=5.57M | tps=114472 | mfu=76.0%/gpu | mem=9.5G | 0.142s | grad=1.3648 | ETA=6.3m
  step    350/3000 ( 11.7%) | loss=5.8664 | lr=3.00e-04 | tok=5.73M | tps=116086 | mfu=77.0%/gpu | mem=9.5G | 0.140s | grad=0.9412 | ETA=6.2m
  step    360/3000 ( 12.0%) | loss=5.7089 | lr=3.00e-04 | tok=5.90M | tps=114788 | mfu=76.2%/gpu | mem=9.4G | 0.145s | grad=1.2938 | ETA=6.4m
  step    370/3000 ( 12.3%) | loss=5.5946 | lr=3.00e-04 | tok=6.06M | tps=115352 | mfu=76.5%/gpu | mem=9.5G | 0.141s | grad=0.9697 | ETA=6.2m
  step    380/3000 ( 12.7%) | loss=5.4283 | lr=3.00e-04 | tok=6.23M | tps=114578 | mfu=76.0%/gpu | mem=9.5G | 0.141s | grad=1.0165 | ETA=6.2m
  step    390/3000 ( 13.0%) | loss=6.0737 | lr=3.00e-04 | tok=6.39M | tps=114632 | mfu=76.1%/gpu | mem=9.5G | 0.141s | grad=0.9836 | ETA=6.1m
  step    400/3000 ( 13.3%) | loss=6.0053 | lr=3.00e-04 | tok=6.55M | tps=115544 | mfu=76.7%/gpu | mem=9.5G | 0.140s | grad=1.2060 | ETA=6.1m
  step    410/3000 ( 13.7%) | loss=5.7603 | lr=3.00e-04 | tok=6.72M | tps=115812 | mfu=76.8%/gpu | mem=9.5G | 0.140s | grad=0.9318 | ETA=6.1m
  step    420/3000 ( 14.0%) | loss=5.7372 | lr=3.00e-04 | tok=6.88M | tps=115603 | mfu=76.7%/gpu | mem=9.5G | 0.142s | grad=3.0185 | ETA=6.1m
  step    430/3000 ( 14.3%) | loss=5.4117 | lr=3.00e-04 | tok=7.05M | tps=115172 | mfu=76.4%/gpu | mem=9.4G | 0.141s | grad=0.9908 | ETA=6.0m
  step    440/3000 ( 14.7%) | loss=6.1412 | lr=3.00e-04 | tok=7.21M | tps=115284 | mfu=76.5%/gpu | mem=9.4G | 0.143s | grad=1.3038 | ETA=6.1m
  step    450/3000 ( 15.0%) | loss=5.8876 | lr=3.00e-04 | tok=7.37M | tps=116369 | mfu=77.2%/gpu | mem=9.4G | 0.140s | grad=1.3011 | ETA=6.0m
  step    460/3000 ( 15.3%) | loss=5.4479 | lr=3.00e-04 | tok=7.54M | tps=115638 | mfu=76.7%/gpu | mem=9.3G | 0.141s | grad=0.9277 | ETA=6.0m
  step    470/3000 ( 15.7%) | loss=5.1993 | lr=3.00e-04 | tok=7.70M | tps=116264 | mfu=77.1%/gpu | mem=9.4G | 0.143s | grad=1.0302 | ETA=6.0m
  step    480/3000 ( 16.0%) | loss=6.0070 | lr=3.00e-04 | tok=7.86M | tps=115093 | mfu=76.4%/gpu | mem=9.4G | 0.146s | grad=1.1036 | ETA=6.1m
  step    490/3000 ( 16.3%) | loss=5.5782 | lr=3.00e-04 | tok=8.03M | tps=114850 | mfu=76.2%/gpu | mem=9.4G | 0.141s | grad=0.9358 | ETA=5.9m
  step    500/3000 ( 16.7%) | loss=5.8527 | lr=3.00e-04 | tok=8.19M | tps=116455 | mfu=77.3%/gpu | mem=9.4G | 0.145s | grad=1.0326 | ETA=6.0m
    [VAL] loss=5.5079 ppl=246.62 bpb=1.2632
  step    510/3000 ( 17.0%) | loss=6.0320 | lr=3.00e-04 | tok=8.36M | tps=115050 | mfu=76.3%/gpu | mem=9.4G | 0.142s | grad=1.4219 | ETA=5.9m
  step    520/3000 ( 17.3%) | loss=5.4330 | lr=3.00e-04 | tok=8.52M | tps=116514 | mfu=77.3%/gpu | mem=9.2G | 0.140s | grad=0.9743 | ETA=5.8m
  step    530/3000 ( 17.7%) | loss=5.6162 | lr=3.00e-04 | tok=8.68M | tps=116164 | mfu=77.1%/gpu | mem=9.3G | 0.140s | grad=1.0449 | ETA=5.7m
  step    540/3000 ( 18.0%) | loss=5.2527 | lr=3.00e-04 | tok=8.85M | tps=116698 | mfu=77.4%/gpu | mem=9.3G | 0.140s | grad=1.1998 | ETA=5.7m
  step    550/3000 ( 18.3%) | loss=5.6865 | lr=3.00e-04 | tok=9.01M | tps=116498 | mfu=77.3%/gpu | mem=9.3G | 0.140s | grad=1.1564 | ETA=5.7m
  step    560/3000 ( 18.7%) | loss=5.6950 | lr=3.00e-04 | tok=9.18M | tps=116446 | mfu=77.3%/gpu | mem=9.3G | 0.141s | grad=0.9813 | ETA=5.8m
  step    570/3000 ( 19.0%) | loss=5.3318 | lr=3.00e-04 | tok=9.34M | tps=115416 | mfu=76.6%/gpu | mem=9.3G | 0.141s | grad=1.0250 | ETA=5.7m
  step    580/3000 ( 19.3%) | loss=5.2753 | lr=3.00e-04 | tok=9.50M | tps=116547 | mfu=77.3%/gpu | mem=9.3G | 0.140s | grad=1.0329 | ETA=5.6m
  step    590/3000 ( 19.7%) | loss=5.3795 | lr=3.00e-04 | tok=9.67M | tps=115611 | mfu=76.7%/gpu | mem=9.3G | 0.143s | grad=1.1133 | ETA=5.7m
  step    600/3000 ( 20.0%) | loss=5.1547 | lr=3.00e-04 | tok=9.83M | tps=116392 | mfu=77.2%/gpu | mem=9.3G | 0.140s | grad=1.0236 | ETA=5.6m
  step    610/3000 ( 20.3%) | loss=5.0678 | lr=3.00e-04 | tok=9.99M | tps=114051 | mfu=75.7%/gpu | mem=9.3G | 0.141s | grad=1.1415 | ETA=5.6m
  step    620/3000 ( 20.7%) | loss=5.0411 | lr=3.00e-04 | tok=10.16M | tps=116203 | mfu=77.1%/gpu | mem=9.3G | 0.140s | grad=1.1214 | ETA=5.6m
  step    630/3000 ( 21.0%) | loss=5.3484 | lr=3.00e-04 | tok=10.32M | tps=116713 | mfu=77.4%/gpu | mem=9.3G | 0.143s | grad=1.0485 | ETA=5.7m
  step    640/3000 ( 21.3%) | loss=5.5719 | lr=3.00e-04 | tok=10.49M | tps=116510 | mfu=77.3%/gpu | mem=9.2G | 0.141s | grad=1.1751 | ETA=5.5m
  step    650/3000 ( 21.7%) | loss=5.2942 | lr=3.00e-04 | tok=10.65M | tps=116709 | mfu=77.4%/gpu | mem=9.3G | 0.145s | grad=1.0899 | ETA=5.7m
  step    660/3000 ( 22.0%) | loss=5.3943 | lr=3.00e-04 | tok=10.81M | tps=117090 | mfu=77.7%/gpu | mem=9.3G | 0.143s | grad=1.1081 | ETA=5.6m
  step    670/3000 ( 22.3%) | loss=5.1850 | lr=3.00e-04 | tok=10.98M | tps=116398 | mfu=77.2%/gpu | mem=9.3G | 0.144s | grad=1.1089 | ETA=5.6m
  step    680/3000 ( 22.7%) | loss=5.3682 | lr=3.00e-04 | tok=11.14M | tps=115373 | mfu=76.6%/gpu | mem=9.3G | 0.142s | grad=1.1893 | ETA=5.5m
  step    690/3000 ( 23.0%) | loss=4.9677 | lr=3.00e-04 | tok=11.30M | tps=114957 | mfu=76.3%/gpu | mem=9.3G | 0.143s | grad=1.2535 | ETA=5.5m
  step    700/3000 ( 23.3%) | loss=5.2091 | lr=3.00e-04 | tok=11.47M | tps=114578 | mfu=76.0%/gpu | mem=9.4G | 0.143s | grad=1.0049 | ETA=5.5m
